; C128 Platform file.
; Taken from a PDF of the C128 Programmers reference guide, pasted to file, cleaned, then
; imported, saved, cleaned again for duplicates, merged with imported ReGenerator labels and comment files,
; added additional chip register symbols
;---------------------------------------------------------------------------------------------------------
0000,D6510,6510 Data Direction Register
0001,R6S10,6510 Data Register
0002,BANK,Token 'SEARCH' looks for
0003,PC_HI,Address for BASIC SYS command or MONITOR and LONG CALL/JUMP Routines
0004,PC_LO,Address
0005,S_REG,STATUS REG Temp
0006,A_REG,.A REG Temp
0007,X_REG,.X REG Temp
0008,Y_REG,.Y REG Temp
0009,STKPTR,Stack Pointer Temp
000A,ENDCHR,Flag: Scan For Quote at End Of String
000B,TRMPOS,Screen Column from Last Tab
000C,VERCIC,Flag: 0 = LOAD
000D,COUNT,Input Buf.ptr / # of Subscripts
000E,DIMFLG,Flag: Default Array Dimension
000F,VALTYP,DATA Type: $FF=String
0010,INTFLG,DATA Type: $00=Float.Pt
0011,GARBFL,Flag: DATA Scan/ LIST Quote/ Garbage Collection
0012,SUBFLG,Flag: Subscript Ref. / User Func. Call
0013,INPFLG,Flag: $00=INPUT
0014,DOMASK,20
0015,CHANNL,21
0016,POKER,22
0018,TEMPPT,Pointer: Temp String Stack
0019,LASTPT,Last Temp String Address
001B,TEMPST,Stack For Temp Strings
0024,INDEX,Utility Pointer Area
0026,INDEX2,38
0028,RESHO,Floating Pt. Product of Multiply
0029,RESMOH,41
002A,ADDEND,42
002B,RESLO,43
002D,TXTTAB,Pointer: Start Of BASIC Text
002F,VARTAB,Pointer: Start Of BASIC Variables
0031,ARYTAB,Pointer: Start Of BASIC Arrays
0033,STREND,Pointer: End Of BASIC Arrays + 1
0035,FRETOP,Pointer: Bottom of String Storage
0037,FRESPC,Utility String Pointer
0039,MAX_MEM_1,Top of String/Variable Bank (Bank 1)
003B,CURLIN,Current BASIC Line Number
003D,TXTPTR,Pointer to BASIC Text used by CHRGET
003F,FORM,Used by PRINT USING
0041,DATLIN,Current DATA Line Number
0043,DATPTR,Current DATA Item Address
0045,INPPTR,Vector: INPUT Routine
0047,VARNAM,Current BASIC Variable Name
0049,FDECPT,73
004B,LSTPNT,75
004C,EORMSK,76
004D,VARTXT,77
004F,OPMASK,79
0050,GRBPNT,80
0052,DSCPNT,82
0055,HELPER,Flags 'HELP' or 'LIST'
0056,JMPER,86
0058,OLDOV,88
0059,TEMPF1,89
005A,ARYPNT,90
005B,PTARG2,91
005C,HIGHTR,92
005D,STRl,93
005E,TEMPF2,94
005F,DECCNT,Number of Digits after the Decimal Point
0060,STR2,96
0060,TENEXP,96
0061,GRBTOP,97
0062,EXPSGN,98
0063,FAC,99
0063,POSITN,99
0064,MATCH,100
0064,RIGHT_FLAG,Paint-Right Flag
0065,FACMOH,101
0066,INDICE,102
0067,FACLO,103
0068,FACSGN,FAC#1 Sign
0069,DEGREE,105
006A,ARGEXP,FAC#2 Exponent
006B,ARGHO,FAC#2 Mantissa
006C,ARGMOH,108
006D,ARGMO,109
006E,ARGLO,110
006F,ARGSGN,FAC#2 Sign
0070,STRNGI,112
0071,FACOV,FAC#1 Low-Order (Rounding)
0072,STRNG2,114
0074,AUTINC,Inc. Val for AUTO (0 = Off)
0076,MVDFLG,Flag If 10K HIRES Allocated
0077,ZPTEMP1,PRINT USING's Leading Zero Counter
0078,HULP,Counter
0079,SYNTMP,Used as Temp For Indirect
007A,DSDESC,Descriptor for DS$
007D,TOS,Top of Run Time Stack
007F,RUNMOD,Flags Run/Direct Mode
0080,PARSTS,DOS Parser Status Word
0081,PARSTX,129
0082,OLDSTK,130
0083,COLSEL,Current COLOR Selected
0084,MULTICOLOR,132
0085,MULTICOLOR_2,133
0086,FOREGROUND,134
0087,SCALE_X,Scale Factor In X
0089,SCALE_Y,Scale Factor In Y
008B,STOPNB,Stoppaint if not Background/Not same color
008C,GRAPNT,140
008E,VTEMPI,142
008F,VTEMP2,143
0090,STATUS,I/O Operation Status Byte
0091,STKEY,STOP KEY Flag
0092,SVXT,Tape Temporary
0093,VERCK,LOAD or VERIFY Flag
0094,C3P0,Serial Buffered Char Flag
0095,BSOUR,Char Buffer For Serial
0096,SYNO,Cassette Sync #
0097,XSAV,Temp For BASIN
0098,LDTND,Index to Logical File
0099,DFLTN,Default Input Device #
009A,DFLTO,Default Output Device #
009B,PRTY,Cassette Parity
009C,DPSW,Cassette Dipole Switch
009D,MSGFLG,OS Message Flag
009E,PTR1,Cassette Error Pass1
009F,PTR2,Cassette Error Pass2
00A0,TIME,24 Hour Clock In 1/60th Seconds
00A3,R2D2,Serial Bus Usage
00A4,BSOUR1,Temp used by Serial Routine
00A5,COUNT,Temp used by Serial Routine
00A6,BUFPT,Cassette Buffer Pointer
00A7,INBIT,RS-232 RCVR Input Bit Storage
00A8,BITCI,RS-232 RCVR Bit Count In
00A9,RINONE,RS-232 RCVR Flag For Start Bit Check
00AA,RIDATA,RS-232 RCVR Byte Buffer
00AB,RIPRTY,RS-232 RCVR Parity Storage
00AC,SAL,Pointer: Tape Buffer / Screen Scrolling
00AD,SAH,173
00AE,EAL,Tape End Addresses / End of Program
00AF,EAH,175
00B0,CMP0,Tape Timing Constants
00B1,TEMP,177
00B2,TAPE1,Address of Tape Buffer
00B4,BITTS,RS-232 TRNS Bit Count
00B5,NXTBIT,RS-232 TRNS Next Bit To Be Sent
00B6,RODATA,RS-232 TRNS Byte Buffer
00B7,FNLEN,LENGTH Current File N Str
00B8,LA,Current File Logical Addr
00B9,SA,Current File 2nd Addr
00BA,FA,Current File Primary Addr
00BB,FNADR,Addr Current File Name Str
00BD,ROPRTY,RS-232 TRNS Parity Buffer
00BE,FSBLK,Cassette Read Block Count
00BF,DRIVE,191
00C0,CAS1,Cassette Manual/Cntrled Switch (Updated during IRQ)
00C1,TRACK,193
00C2,SECTOR,194
00C3,MEMUSS,Cassette LOAD Temps (2 bytes)
00C5,DATA,Tape Read/Write Data
00C6,BA,Bank For Current LOAD/SAVE/VERIFY Operation
00C7,FNBANK,Bank Where Current FN is found (at 'FNADR')
00C8,RIBUF,RS-232 Input Buffer Pointer
00CA,ROBUF,RS-232 Output Buffer Pointer
00CC,KEYTAB,Keyscan Table Pointer
00CE,IMPARM,PRIMM Utility String Pointer
00D0,NDX,Index to Keyboard Queue
00D1,KYNDX,Pending Function Key Flag
00D2,KEYIDX,Index Into Pending Function Key String
00D3,SHFLAG,Keyscan Shift Key Status
00D4,SFDX,Keyscan Current Key Index
00D5,LSTX,Keyscan Last Key Index
00D6,CRSW,<CR> Input Flag
00D7,MODE,40/80 Column Mode Flag
00D8,GRAPHM,Text/Graphic Mode Flag
00D9,CHAREN,RAM/ROM VIC Character Fetch Flag (Bit-2)
00DA,BITMSK,Temporary For TAB & LINE WRAP Routines
00DA,KEYSIZ,Programmable Key Variables
00DA,SEDSAL,Pointers For MOVLIN
00DB,KEYLEN,219
00DB,SAVER,Another Temporary Place To Save A Reg.
00DC,KEYNUM,220
00DC,SEDEAL,220
00DD,KEYNXT,221
00DE,KEYBNK,222
00DE,SEDT1,SAVPOS
00DF,KEYTMP,223
00DF,SEDT2,223
00E0,PNT,Pointer to Current Line (Text)
00E2,USER,Pointer to Current Line (Attribute)
00E4,SCBOT,Window Lower Limit
00E5,SCTOP,Window Upper Limit
00E6,SCLF,Window Left Margin
00E7,SCRT,Window Right Margin
00E8,LSXP,Current Input Column Start
00E9,LSTP,Current Input Line Start
00EA,INDX,Current Input Line End
00EB,TBLX,Current Cursor Line
00EC,PNTR,Current Cursor Column
00ED,LINES,Maximum Number of Screen Lines
00EE,COLUMNS,Maximum Number of Screen Columns
00EF,DATAX,Current Character to Print
00F0,LSTCHR,Previous Char Printed (For <ESC> Test)
00F1,COLOR,Curr Attribute to Print (Default FGND Color)
00F2,TCOLOR,Saved Attrib to Print ('INSERT' & 'DELETE')
00F3,RVS,Reverse Mode Flag
00F4,QTSW,Quote Mode Flag
00F5,INSRT,Insert Mode Flag
00F6,INSFLG,Auto-Insert Mode Flag
00F7,LOCKS,Disables <Shift><C*>
00F8,SCROLL,Disables Screen Scroll
00F9,BEEPER,Disables <CTRL> G
00FA,FREKZP,Free Zero Page reserved for applications software ($FA-$FE)
00FF,LOFBUF,255
0100,FBUFFR,Area to build filename in (16 bytes)
0110,XCNT,DOS Loop Counter
0111,DOSF1L,DOS Filename 1 Len
0112,DOSDS1,DOS Disk Drive 1
0113,DOSF2L,DOS Filename 2 Len
0114,DOSDS2,DOS Disk Drive 2
0115,DOSF2A,DOS Filename 2 Addr
0117,DOSOFL,BLOAD/BSAVE Starting Address
0119,DOSOFH,BLOAD/BSAVE Ending Address
011B,DOSLA,DOS Logical Addr
011C,DOSFA,DOS Phys Addr
011D,DOSSA,DOS Sec. Addr
011E,DOSRCL,DOS Record Length
011F,DOSBNK,287
0120,DOSDID,DOS Disk ID
0122,DIDCHK,DOS DSK ID FLG SPACE Used by PRINT USING
0123,BNR,Pointer to Begin. NO.
0124,ENR,Pointer to End NO.
0125,DOLR,Dollar Flag
0126,FLAG,Comma Flag
0127,SWE,Counter
0128,USGN,Sign Exponent
0129,UEXP,Pointer to Exponent
012A,VN,# Of Digits Before Decimal Point
012B,CHSN,Justify Flag
012C,VF,# Of Pos Before Decimal Point (Field)
012D,NF,# Of Pos After Decimal Point (Field)
012E,POSP,+/- Flag (Field)
012F,FESP,Exponent Flag (Field)
0130,ETOF,Switch
0131,CFORM,Char Counter (Field)
0132,SNO,Sign No
0133,BLFD,Blank/Star Flag
0134,BEGFD,Pointer to Begin of Field
0135,LFOR,Length of Format
0136,ENDFD,Pointer to End Of Field
0137,SYSTK,System Stack ($0137-$01FF)
0200,BUF,Input Buffer: BASIC & MONITOR
02A2,FETCH,LDA(-)Y from any bank
02AA,FETCHVEC,-
02AF,STASH,STA(-)
02B9,STAVEC,-
02C8,CMPARE,CMP(-)
02C8,CMPVEC,
02CD,JSRFAR,JSR XXXX to Any Bank & Return
02E3,JMPFAR,XXXX to Any Bank
02FC,ESC_FN_VEC,Vector For Additional Function Routines
02FE,BANKVEC,Vector For Function Cart.
0300,IERROR,Users
0302,IMAIN,Vector to main (system direct loop)
0304,ICRNCH,Vector to Crunch
0310,IESCEX,... And Execute.
0314,IIRO,IRQ RAM Vector
0316,IBRK,BRK INSTR RAM Vector
0318,INMI,NMI Vector
031A,IOPEN,KERNAL OPEN Routine Vector
0322,CLRCH,KERNAL CLRCH Routine Vector
0324,IBASIN,KERNAL CHRIN Routine Vector
0326,IBSOUT,KERNAL CHROUT Routine Vector
0328,ISTOP,KERNAL STOP Routine Vector
032A,IGETIN,KERNAL GETIN Routine Vector
032C,ICLALL,KERNAL CLALL Routine Vector
032E,EXMON,Monitor Command Vector
0330,ILOAD,KERNAL LOAD Routine Vector
0332,ISAVE,KERNAL SAVE Routine Vector
0334,CTLVEC,Editor: PRINT 'CONTRL' Indirect
0336,SHFVEC,Editor: PRINT 'SHIFTD' Indirect
0338,ESCVEC,Editor: PRINT 'ESCAPE' Indirect
033A,KEYVEC,Editor: Keyscan Logic Indirect
033C,KEYCHK,Editor: Store Key Indirect
033E,DECODE,Vectors to Keyboard Matrix Decode Tables
034A,KEYD,IRQ Keyboard Buffer (10 Bytes)
0354,TABMAP,Bitmap Of TAB Stops (10 Bytes
035E,BITABL,Bitmap Of Line Wraps
0362,LAT,Logical File Numbers
036C,FAT,Primary Device Numbers
0376,SAT,Secondary Addresses
0380,CHRGET,Get next character for BASIC
0386,CHRGOT,Get current character
0390,QNUM,
039F,INDSUB_RAM0,Shared ROM Fetch Sub
03AB,INDSUB_RAM1,Shared ROM Fetch Sub
03B7,INDIN1_RAM1,Index1 Indirect Fetch
03C0,INDIN2,Index2 Indirect Fetch
03C9,INDIXT,Txtptr
03D2,ZERO,Numeric Constant For BASIC
03D5,CURRENT_BANK,Context For SYS
03D6,TMPDES,Temp For INSTR
03DA,FIN_BANK,Bank Pointer For String/Number CONVERT RTN
03DB,SAVSIZ,Temp Work Locations for SSHAPE
03DF,BITS,FAC#1 OVERFLOW DIGIT
03E0,SPRTMP_1,Temp For SPRSAV
03E1,SPRTMP_2,991
03E2,FG_BG,Packed Foreground/ Background Color Nybbles
03E3,FG_MC1,Packed Foreground/ Multicolor 1 Color Nybbles
0400,VICSCN,VIDEO MATRIX #1: VIC 40-Column Text Screen $0400-$07FF
0A00,SYSTEM_VECTOR,Vector to Restart System (BASIC Warm)
0A02,DEJAVU,KERNAL Warm/Cold Init'n Status Byte
0A03,PALNTS,PAL/NTSC System Flag
0A04,INIT_STATUS,Flags RESET vs. NMI Status for init'n rtns
0A05,MEMSTR,Ptr to Bottom of Avail. Memory in System Bank
0A07,MEMSIZ,Ptr to Top of Available Memory in System Bank
0A09,IRQTMP,Tape Handler preserves IRQ Indirect here
0A0F,ENABL,RS-232 Enables
0A10,M51CTR,RS-232 Control Register
0A11,MSICDR,RS-232 Command Register
0A12,MSIAJB,RS-232 User Baud Rate
0A14,RSSTAT,RS-232 Status Register
0A15,BITNUM,RS-232 Number of Bits To Send
0A16,BAUDOF,RS-232 Baud Rate Full Bit Time (Created by OPEN)
0A18,RIDBE,RS-232 Input Buffer Index to End
0A19,RIDBS,RS-232 Input Buffer Index to Start
0A1A,RODBS,RS-232 Output Buffer Index to Start
0A1B,RODBE,RS-232 Output Buffer Index to End
0A1C,SERIAL,Fast Serial Internal/External Flag
0A1D,TIMER,Decrementing Jiffie Register
0A20,XMAX,Keyboard Queue Maximum Size
0A21,PAUSE,CTRL-S Flag
0A22,RPTFLG,Enable Key Repeats
0A23,KOUNT,Delay Between Key Repeats
0A24,DELAY,Delay Before a Key Starts Repeating
0A25,LSTSHF,Delay Between <C=><SHFT> Toggles
0A26,BLNON,VIC Cursor Mode (Blinking
0A27,BLNSW,VIC Cursor Disable
0A28,BLNCT,VIC Cursor Blink Counter
0A29,GDBLN,VIC Cursor Character Before Blink
0A2A,GDCOL,VIC Cursor Color Before Blink
0A2B,CURMOD,VDC Cursor Mode (when enabled)
0A2C,VM1,VIC Text Screen/Character Base Pointer
0A2D,VM2,VIC Bit-Map Base Pointer
0A2E,VM3,VDC Text Screen Base
0A2F,VM4,VDC Attribute Base
0A30,LINTMP,Temporary Pointer to Last Line For LOOP4
0A31,SAV80A,Temporary For 80-Col Routines
0A32,SAV80B,Temporary For 80-Col Routines
0A33,CURCOL,VDC Cursor Color Before Blink
0A34,SPLIT,VIC Split Screen Raster Value
0A35,FNADRX,Save .X During Bank Operations
0A36,PALCNT,Counter for PAL Systems (Jiffie adjustment)
0A37,SPEED,Save System Speed During Tape and Serial Ops
0A38,SPRITES,Save Sprite Enables During Tape and Serial Ops
0A39,BLANKING,Save Blanking Status During Tape Ops
0A3A,HOLD_OFF,Flag set by user to resrv full control of VIC
0A3B,LDTBI_SA,Hi byte:SA Of VIC Scrn (Use W/VMI to move scrn)
0A3C,CLR_EA_LO,8563 Block Fill
0A3D,CLR_EA_HI,8563 Block Fill
0A40,SWAPSCREEN,$0A40-$0A7F Reserved Swap Area For Screen
0A80,XCNT,Compare Buffer (32 bytes)
0AA0,HULP,2720
0AAA,FORMAT,2730
0AAB,LENGTH,ASM/DIS
0AAC,MSAL,For Assembler
0AAF,SXREG,1 Byte Temp used all over
0AB0,SYREG,1 Byte Temp used all over
0AB1,WRAP,1 Byte Temp for Assembler
0AB2,XSAVE,Save .X here during Indirect Subroutine Calls
0AB3,DIRECTION,Direction Indicator For 'TRANSFER'
0AB4,COUNT,Parse Number Conversion
0AB5,NUMBER,Parse Number Conversion
0AB7,TEMPS,Parse Number Conversion
0AC0,CURBNK,Current Function Key ROM Bank Being Polled
0AC1,PAT,Physical Address Table (IDS OF LOGGED-IN CARDS)
0AC5,DK_FLAG,Reserved For Foreign Screen Editors
0AC6,RESERVED,$0AC6-$0AFF Reserved For System
0AOB,CASTON,TOD Sense during tape operations
0AOC,KIKA26,Tape Read Temporary
0AOD,STUPID,Tape Read D1IRQ Indicator
0AOE,TIMOUT,Fast Serial Timeout Flag
0B00,TBUFFR,Cassette Buffer (192 BYTES) also buffer for the disk auto-boot.
0C00,RS232I,RS-232 Input Buffer
0D00,RS2320,RS-232 Output Buffer
0E00,SPRITES,Sprite Definition Area (Must be below $1000)
1000,PKYBUF,Prg FN Key Lengths Table For 
100A,PKYDEF,Programmable Function Key Strings
1100,DOSSTR,DOS OUTPUT STR. BUF
1131,VWORK,Graphics Vars
1131,XPOS,Current X Position
1131,XYPOS,4401
1133,YPOS,Current Y Position
1135,XDEST,X-Coordinate Destination
1137,YDEST,Y-Coordinate Destination
1139,XABS,4409
1139,XYABS,Line Drawing Variables
113B,YABS,4411
113D,XSGN,4413
113D,XYSGN,4413
113F,YSGN,4415
1141,FCT,4417
1145,ERRVAL,4421
1147,LESSER,4423
1148,GREATR,4424
1149,ANGSGN,Sign Of Angle
114A,SINVAL,Sine Of Value Of Angle
114C,COSVAL,Cosine of Value of Angle
114E,ANGCNT,Temps For Angle Distance Routines
1150,XCENTR,4432
1152,YCENTR,4434
1154,XDIST1,4436
1156,YDIST1,4438
1158,XDIST2,4440
115A,YDIST2,4442
115C,DISEEND,Placeholder
115E,COLCNT,Char's Col. Counter
115F,ROWCNT,4447
1160,STRCNT,4448
1161,BITIDX,Bit Index Into Byte
1168,CHRPAG,HIGH BYTE: ADDR OF CHARROM For 'CHAR' CMD.
1169,BITCNT,Temp For GSHAPE
116A,SCALEM,SCALE Mode Flag
116B,WIDTH,Double Width Flag
116C,FILFLG,Box Fill Flag
116D,BITMSK,Temp For Bit Mask
116E,NUMCNT,4462
116F,TRCFLG,Flags Trace Mode
1170,RENUM_TMP_1,A Temp For Renumber
1172,RENUM_TMP_2,A Temp For Renumber
1174,T3,4468
